main_category,orders,gmv,avg_review,late_rate
health_beauty,8621,1414013.93,4.232283770651118,0.07528128987356456
watches_gifts,5453,1257518.8,4.129318307777573,0.07445442875481387
bed_bath_table,9239,1240568.85,4.003390201224847,0.07457517047299492
sports_leisure,7477,1115398.11,4.237992735100229,0.06593553564263742
computers_accessories,6519,1036911.16,4.082768187422935,0.06396686608375518
furniture_decor,6208,884501.51,4.073109380071405,0.07184278350515463
housewares,5670,754829.41,4.207948899929027,0.05432098765432099
cool_stuff,3516,688656.45,4.234375,0.05944254835039818
auto,3803,671568.41,4.146895640686922,0.07310018406521168
garden_tools,3411,566399.5,4.192568563845473,0.06596306068601583
toys,3758,542256.79,4.247988197424893,0.06412985630654604
baby,2794,473861.03,4.1105699855699855,0.08088761632068718
perfumery,3069,442887.27,4.264628963713632,0.06581948517432389
telephony,4071,378088.49,4.058067704472449,0.07148120854826824
office_furniture,1244,333889.26,3.6543760129659644,0.08118971061093247
stationery,2240,268319.77,4.305568028738213,0.06607142857142857
pet_shop,1679,250561.01,4.283064033512867,0.05122096486003574
computers,176,226944.66999999998,4.242774566473988,0.056818181818181816
electronics,2509,202355.98,4.128112449799197,0.07652451175767237
musical_instruments,606,202023.2,4.24,0.07590759075907591
small_appliances,604,196666.36,4.270450751252087,0.048013245033112585
unknown,1336,192554.11,4.050828313253012,0.07110778443113773
fashion_bags_accessories,1816,180523.46,4.240873893805309,0.05616740088105727
luggage_accessories,1011,168373.99,4.380337636544191,0.04253214638971316
consoles_games,1016,167542.26,4.182224428997021,0.0610236220472441
construction_tools_construction,731,163778.75,4.1411845730027546,0.07387140902872777
home_appliances_2,226,118008.4,4.155555555555556,0.061946902654867256
home_appliances,747,93301.78,4.216173835125448,0.04417670682730924
home_construction,460,91669.43,4.0873362445414845,0.06304347826086956
furniture_living_room,403,83829.41,4.108040201005025,0.07692307692307693
agro_industry_and_commerce,177,76203.3,4.107344632768362,0.03954802259887006
home_confort,346,61204.15,3.9505813953488373,0.10115606936416185
air_conditioning,246,60098.71,4.115702479338843,0.04065040650406504
fixed_telephony,212,59917.94,3.9665071770334928,0.04716981132075472
audio,348,57946.76,3.8391304347826085,0.11781609195402298
kitchen_dining_laundry_garden_furniture,236,56722.59,4.128205128205129,0.046610169491525424
books_general_interest,494,54271.78,4.53265306122449,0.06477732793522267
construction_tools_lights,237,51759.43,4.183760683760684,0.06751054852320675
small_appliances_home_oven_and_coffee,72,49245.9,4.430555555555555,0.05555555555555555
industry_commerce_and_business,228,45416.76,4.234513274336283,0.07017543859649122
construction_tools_safety,155,43149.36,4.0,0.025806451612903226
food,436,35595.99,4.324074074074074,0.07110091743119266
market_place,264,32352.1,4.133587786259542,0.041666666666666664
costruction_tools_garden,186,28952.21,4.279569892473118,0.053763440860215055
fashion_shoes,233,27715.88,4.286026200873362,0.04721030042918455
signaling_and_security,137,27695.37,4.139705882352941,0.043795620437956206
art,194,27646.7,4.114583333333333,0.061855670103092786
drinks,285,27563.24,4.245614035087719,0.05263157894736842
books_technical,256,23147.6,4.427450980392157,0.08203125
furniture_bedroom,88,23028.6,4.261363636363637,0.06818181818181818
food_drink,220,19530.64,4.443181818181818,0.03636363636363636
costruction_tools_tools,97,17934.170000000002,4.425531914893617,0.061855670103092786
fashion_male_clothing,106,12514.95,3.8190476190476192,0.04716981132075472
christmas_supplies,125,11950.04,4.1138211382113825,0.08
fashion_underwear_beach,117,11160.02,4.008620689655173,0.09401709401709402
tablets_printing_image,76,8483.71,4.162162162162162,0.05263157894736842
cine_photo,63,8157.14,4.333333333333333,0.06349206349206349
music,37,6825.92,4.297297297297297,0.05405405405405406
furniture_mattress_and_upholstery,37,5904.75,3.891891891891892,0.13513513513513514
dvds_blu_ray,55,5776.73,4.181818181818182,0.07272727272727272
party_supplies,37,5192.1900000000005,4.081081081081081,0.0
books_imported,50,5182.65,4.44,0.04
portateis_cozinha_e_preparadores_de_alimentos,13,4228.05,3.6153846153846154,0.07692307692307693
fashio_female_clothing,36,3302.39,3.9166666666666665,0.05555555555555555
fashion_sport,24,2503.33,4.541666666666667,0.041666666666666664
arts_and_craftmanship,23,2241.54,4.173913043478261,0.043478260869565216
la_cuisine,11,2216.62,4.545454545454546,0.0
diapers_and_hygiene,25,2046.19,3.96,0.0
flowers,27,1491.82,4.538461538461538,0.037037037037037035
pc_gamer,6,1280.0700000000002,3.8333333333333335,0.0
home_comfort_2,23,1254.3799999999999,3.9545454545454546,0.13043478260869565
cds_dvds_musicals,12,954.99,4.666666666666667,0.0
fashion_childrens_clothes,5,502.11,5.0,0.0
security_and_services,2,324.51,2.5,0.0
